Table 1
video;dialect;clips;score;sample_text
7679118148963978517.mp4;no;31;0;Дата центрите се иднината на човештвото и владата ќе го превземе институционалниот ризик и ќе ги изгради. Струјата ќе плаќа оној што ќе ја троши, а во денешно време има многу бројни начини за ладење на овие центри, вели премиерот Мицкоски. Македонија
7679484792164912391.mp4;no;32;0;Од 1. септември тргнува градскиот воз, од Зелениково до Централната железничка станица во Скопје. Возовите ке се обраќаат 8 пати дневно во двата правци, а ќе се патува околу 25 минути. Првиот воз од Зелениково ке тргнува во 6.20, а последниот ќе прис
7679768664425450753.mp4;no;13;0;Ми бараат мала палачинка. Мала? Ние немаме мала палачинка. Еве, зошто веќе не правиме сецкани палачинки? Оваа палачинка не е помала од оваа палачинка. Луѓето едноставно обожаваа сецкани палачинки. Можеа да јадат палачинки додека пешачат, додека возат
DOMDrJ3CspX.mp4;no;8;0;Најверојатно веќе го имаш видено овај горстен ензимски пилинг кој е вирален на ТикТок и денеска конечно го пробувам. Значи овоа не е обичен пилинг, содржи три проценти ќилибарна киселина и ензим бромелаин, што значи дека нежно ги раствора мртвите кле
DO_hHbyDME9.mp4;no;33;0;Ах, доме, сладок доме. А инаку вие веќе знаете мене најубаво ми е кога сум дома опуштена во мојата комфорна зона. Е сега сите имаат по некое хоби, имам и јас, да скролам мебел. Иако скоро целиот мој дом е опремен од Велеа Хоум, секогаш нешто ми фали.
DPmJfYLjOAd.mp4;no;14;0;Спремни за патување. Кога патувам во земјите кои што се во Шенген зоната, јас како граѓанин кој што доаѓа од земја која што не е дел од Европската Унија, мора да се регистрирам во нов систем, систем за влез и излез ЕЕС. Регистрацијата е бесплатна и с
DSxiHK0Cjej.mp4;no;12;0;Замисли, секој ден до нова година да ти стигнуваат подароци вака. Не мораш ништо да замислуваш. Само инсталирај ја Телеком МК апликацијата и отвори го новогодишниот календар во магенда моментс. Секој ден те чека ново изненадување и подароци што ствар
DVBuRWLDH2A.mp4;no;10;0;Како да готвите без шпорет и без видливи рингли директно на работната површина која дури и не се загрева? Веднаш по готвењето можете да го допрете истото место и нема да се изгорите. На истата таа површина можете да сечете намирници, да подготвувате 
DVTZhGAjMMX.mp4;no;9;0;Чиста површина што не е жешка. Готвам директно на неа и веднаш можам да го допрам истото место без изгореници. Кога ќе го вратам садот, готвењето продолжува веднаш. Веројатно се прашувате како е тоа можно. Тоа е уред на иднината. Невидлива индукциска
DVeD86RjF9N.mp4;no;5;0;Како можете да готвите без шпорет и видливи рингли директно на работната плоча која воопшто не се загрева Да, да, добро слушнавте, самата површина останува ладна додека се загрева само садот, благодарение на инвизакок невидлива индукцијска технологиј
DVl1RifDEvf.mp4;no;6;0;Како да готвите директно на работната плоча, без видливи рингли? Со невидливата индукција, керамичката работна плоча се претвара во целосно функционална површина за готвење. Самата таа површина останува ладна и безбедна на допир, додека се загрева са
DVnohhPjHzN.mp4;no;4;0;Значи не флевме дома дека не изедаме, нема на децата даване. Е, деца не треба да јаат такво. Ај Снежа ти не говори влеви, ај од тебе, еден тост за тебе одзад, ајде. Се си манаџии, флеве, ајде.
DWZWCFrDZ6P.mp4;no;2;0;Мамо, пато, работата ја сериозно. Светот се менува. Вештачката интелигенција веќе знае се. Проблемот не е до технологијата. олку што јас само гледам, а не создавам. Ми барам бизнес инвестиција од 500 денари во парата и глава. Ми требаат 90 минути чис
DX7oYsIMSaV.mp4;no;5;0;Дали некогаш сте виделе плоча за готвење без видливи рингли? Замислете да готвите директно на вашата работна површина, кадешто само магнетната индукција ги загрева садовите, додека самата површина останува ладна на допир. Внесува елеганција и луксуз 
DXJlDwcDDQd.mp4;no;1;0;Само се шегувам. Дури и кога готвите подолго, како што правевме ние, не грижете се и не можете да се изборите со инвизакук.
DXuZ7HwEV_1.mp4;no;14;0;Претходната влада на ВМРО воведе со закон регистар на педофилија. Го нема онлајн. Регистар за педофилија има во цел цивилизиран западен свет. Значи регистар на педофилија донесе претходната влада на ВМРО ДПМНЕ, СДСМ дојде ја укина. Не само што ја уки
DYKO2TYgQId.mp4;no;10;0;Околу еден час изутрината ми кажа дека Ердоган, кој што до тогаш не се знаеше каде е, дека ќе слета во делот, на транзитниот дел на аеродромот Кемал Ататурк во Турција. Тој следува на делот на аеродромот кај што сме ние. Доаѓа војска, полицијата е ве
DYKgJ4YOJx5.mp4;no;12;0;Државата е во сериосно погрешен стратешки правец и мислам дека треба за тоа да разговараме. поранешниот претседател Пендаровски, на која се договарало наводно враќањето на Грујевски, се споменува дека и вие сте биле на таа средба. Може ли да ни кажет
DYKi8-LM7Rh.mp4;no;3;0;СО ГАОЛО НЕМОЛ ДА САДИШ БОСТАН КОГА ЕДНАШ КЕ СИ ГО ПРОДАДЕШ ОБРАЗОТ ЗАМАЛО ПАРЕ никогаш не можеш да си го откупиш, повторно назад, ни за многу пари. А старите ова го викаа.
DYM-DxmuFQJ.mp4;no;17;0;Ако можеш да го замениш животот со некој на 24 часа, кој би било тоа? Машката популација точно знае со кого би заменил 24 саата, бар, да не... Со Хио Хефнер, Бог да го прости. Но не би променил ништо во мојот живот. Ако ме прашавте ова пред 26 години
DYMblIXEtRZ.mp4;no;23;0;ЗАВРШИ ПРЕСОТ, ГОСПОДИНОТ ТРАЈКО СЛАВЕВСКИ СО СЛАВЕВСКИ СО СТИЛ НА АНТИЛОПА И БРЗИНА НА УСЕИН БОЛТ ШМУГНА ОД МЕНЕ, ЗАТОА ШТО САКАВ ДА ГО ПРАШАМ УШТЕ НЕКОЕ ПРАШАЊЕ, НЕ МОЖЕЈЌИ ОД НЕГОВИТЕ ВРАБОТЕНИ ЗАМИСЛЕТЕ ДА ВЕ ПОКАНАТ ДОМА НА ГОСТИ И ДА ВИ СВИРКАА
DYMplrXjQsZ.mp4;no;21;0;Како не пишува одговорно лице? Еве го, ова што пишува, дека... А, добро, да, така. Зошто не проверувате пред да се... И зошто не оставате сериозно ме интересира, шанса дека некој човек може да биде болен? Не, не разбирам зошто прашањето е адресирано 
DYMwRP9OZaw.mp4;no;6;0;Кој е најпопуларниот од спорт? И за девојчиња, и за машки. Машката популација обично е футбалот, кај и девојчињата одбојката е најзастапена. Меѓутоа и другите спортови, кошарката и ракометот, секако се убави. Меѓутоа, ако не може некое дете да иде на
DYNE5Udmkom.mp4;no;11;0;За Трако Славевски толку во овој. Сега сакам да и се обратам на дамата која што го номинираше на претседателката Гордана Силјановска Давкова. Госпоѓо Силјановска Давкова, ја не знам што повеќе какви аргументи треба да Ви доставам, вака јавно да ги ис
DYNU5rlAkQS.mp4;no;9;0;Вие се претставувате како ДУИ, како големи заштитници на рамковниот договор, меѓутоа кои ќе имате изјава од Зијадин Села, кој што ќе бараат бинационална држава, што секакој е напад на рамковниот договор, бидејќи излегува од рамката, вие немате никакв
DYNXJvxjg8U.mp4;no;11;0;Нашите статистики и нашите бројки говорат дека имаме трицифрен раст на реализација на капитални проекти. Во ваше време, во ваше практицирање на вашата власт, имавме реализација на капитални проекти, особено бидејќи сакате да зборуваме за коридорите, 
DYNZkrWnEP_.mp4;no;6;0;Ја спасиМакедонија и донесе мирот во Македонија после некои тешки состоби и ситуација која се појави во Македонија после Уставот од 1991 година, каде што беше критикуван и од многу, многу луѓе и ја направи ова држава, ја направи како моноетничка држа
DYOyw67gbxb.mp4;no;27;0;Нашата партија, претседателот, ние водиме реална политика. Со реални проблеми треба да се занимавате. Ние не можеме да... Ние не ги сакаме бугарите, Мислам дека Европа треба да прифати дека ние не ги сакаме... Александар, вашата нарација за не за буг
DYP-VayDOLz.mp4;no;8;0;Нивните провокации се веќе и бесконечни. Секој еден настап на било кој нивен политичар секогаш донесува нешто што нас треба да не вознемири за ние да изреагираме и тие потоа пред европjaните, односно пред нивните партнери во Европската Унија да кажув
DYP61rcDuER.mp4;no;9;0;Убедена сум дека нашиот идентитет, нашиот јазик, нашата самобитност ќе бидат на вистина најмногу заштитени во оној момент кој ќе бидеме делот Европското семејство. Тоа никој не го спори. Дека, но, ако е тоа така, зошто да се плашиме, значи да го прев
DYPizluO_bv.mp4;no;21;0;Што да направиме за да знаеме дека не сме ги разгалиле премногу децата и како да се справиме со овој свет во кој што живееме на интернет и социјални мрежи и да знаеме дека сме направиле нешто добро за нашите деца. Кој е вашиот совет до родителите? Он
DYPpo58usvd.mp4;no;15;0;Јас бидеќи сум дете од село, село Тимјеник, целиот свој живот таму живеам, таму сум родена, лично на себе ги осетив проблемите и предизвиците кои што ги имаат руралното население, а особено руралните жени. Знаете колку е тешко една рурална жена да се
DYSAuiwuDx5.mp4;no;7;0;Овој месец е месец на меланомот или еуромеланома денови се. Граѓаните ќе имат прилика да бидат прегледани од специјалисти, дерматолози, со значи нивните невоси, бемки, да видиме дали има нешто сомнително, нешто што треба на вистина да се обрне вниман
DYSHiH8uppa.mp4;no;4;0;Што никогаш не би направила за пари, ова често си го размислувам, бидејќи, како што кажав, на социјалните мрежи многу често се рекламираат производи, инфлуенсери, блогери и шминкери, не би рекламирала нешто што јас не го подржувам. Значи да препорача
DYSObPSD0Iw.mp4;no;13;0;Политичари мои пријатели, за него, не знам ти дали ја знаеш таа легенда, на крајот на 80-те години кога почнал да работи, господинот Таки Фити добил поголем државен стан, наводно, Од тој што го имал, и Трајко Славевски конкурирал за овој помалиот и н
DYScIcskZtw.mp4;no;6;0;Ја мислам дека најголем дел од граѓаните, без разлика на етничка припадност, не ја чувствуваат државата како своја или не знаат да ја чувствуваат државата како своја, како своја го чувствуваат само својот стан, куќа и дворот, кога ќе излезат до оград
DYShGCDDy2A.mp4;no;32;0;Не е крив Славевски што е на таа функција. Крив е тој што го предложил. Бидејќи неговиот легитимитет и како претседател на град Скопје, заедно со екс-градоначалничката, го направи руина Скопје. Ако едниот не го бива, другиот требаше да го бива, да да
DYUgXjmMw75.mp4;no;7;0;Бременоста и компликациите по породувањето се втора поред причина за смрт на девојките на возраст од 15 до 19 години. Како ова се решава, доктор Гетов? Ова ќе го решаваме ако прво направиме средина во која младите ќе бидат доволно запознаени како да 
DYUsZ0gOOqF.mp4;no;21;0;Ова е модел кој што ни е посебно драг и сме многу емотивно поврзани за него, затоа што навистина прикажува една убава слика за тоа како настанува животот. Во горниот ред, како што кажа колешката, ни е прикажан ембрионален развој. Во првата тегла ни е
DYVH6oxDSaR.mp4;no;22;0;Дали вие како полиција, како МВР недоволно квалитетно сте ја сработиле работата, сте избрзале со акцијата, нема доволно докази и аргументи или пак ваму во обвинителството некој се обидува да замиже и да ги заташка работите? наеднаш се смени фактичкат
DYmKe8-soBe.mp4;no;22;0;Како стигнав тука? Те носам со мене. Пасошка контрола и сум заборавила карта. Одиме во Задар. Преубав резорт, сега ви правам рум тур. Не дочекаа сто подароци. И почнавме да се спремаме. Епа, тука имаме и приватен фризер. Еве ја косата и шминката. Пог
DZfpLGQKvn3.mp4;no;7;0;Најлоша работа што можеш да кажеш на некој што сака добра слика е само застани и позирај Затоа што сите знаеме дека најдобрите фотки никогаш не изгледат наместено. Тие се случуваат додека се движиш, додека не мислиш на камерата. Ти треба само миг, шт
DZmjdp9O7hN.mp4;no;49;0;Ве носам со мене на Мали Лошин. Рано наутро тргнавме за Загреб и јас пообичај заспав. Не дирај лава док спава и пренервозна сум. Стигнавме и Индитекс не пречекаа како кралеви. Утре дента ги ставивме куферите и тргнавме. Затоа што е остров, моравме и 
Da5uKm9MsSg.mp4;no;26;0;Дојди со мене на Крит. со белиот песок. И тргнавме на уште една плажа Ии без каротен никако. На глисер сонцето најмногу пече, па затоа задолжително 50ка фактор. Плажа со кози, ние бевме малку подалеку од нив, ако одите пеш, можете да ги видите и одбл
Db3I8q4Rd3y.mp4;no;20;0;Вардар или Металург? Повеќе ја би сакал злато со репрезентација или титула во Лига на Шампиони? Злато со репрезентација. Германска или Португалска Лига? Тишина и максимална концентрација пред натпревар или гласна музика во соблекувална? И Едно и друг
Db3Y35ox3jg.mp4;no;35;0;Во наредните денови сообраќајната полиција ке ги добие брзите тестови за дрога, но се уште не се знае кога сообраќајците ќе почнат да ги користат. Тестовите на плунка ќе детектираат присуство на психоактивни субстанци како техацето од марихуаната, ко
Db51b3XxM_G.mp4;no;13;0;Зошто луѓето сметат, мислат дека си арогантен, односно... Не знам, Тино, тоа веќе во неколку интервјуа го кажувам и многу луѓе го мислат тоа додека да ме запознаат. Од кога ќе ме запознат, веќе го немаат тоа мислење. Дали едноставно така делувам и не
Db57TAcxXB_.mp4;no;23;0;Дете на возраст од 1,5 година било нападнато и искасано од улично куче во дворот на семејниот дом во Шуто Оризари. Според сведошството на родителите, кучето влегло во дворот додека членовите на семејството биле на терасата. Детето во тој момент било 
Db5Mzr-xboG.mp4;no;60;0;Страшна авионска несреќа ја потресе Југославија. На авионот кој патуваше од Скопје, Кон Титов Град и Сараево загина таткото на Владо Деловски. На јавността познат и како DJ Dela. некој авион што трнал од Скопје, удрил во некоја карпа и они воопштo не
Db5gs7QR60k.mp4;no;12;0;Дали премиерот во рамки на екскурзијата во Белгија ќе има и политички средби и разговори поврзани со блокираните евроинтеграции? Јас, од она што знам, се работи за приватна посета. Сите имаме право на одмор, секако премиерот има право на одмор. Опози
Db6Oz1oxYys.mp4;no;18;0;Кога завршувам настап, луѓето не знаат дека... Дека не можам да заспијам до касно од адреналин, од еуфорија, од енергија, убава и од се тоа. Најголемата заблуда што луѓето имаат за мене е... Дека сум дигнат, арогантен, препотентен и така на таму. Ник
Db8CLJxx_Kh.mp4;no;7;0;Колку време веќе тренирате и зашто сте го одбрале токму пливањето како спорт? Ова ми е веќе осма година како тренирам и го одбрав пливањето зашто имав страв од вода и моите ме запишаа, да, имав страв од вода и моите ме запишаа. Првин тренирав во клуб
Db8FMHeR3od.mp4;no;17;0;Кога се враќам од долга турнеја, првото нешто што го правам дома е... Првото нешто е што сакам да ги видам пошироката фамилија. Нели? Во семејството се подразбира но и целата фамилија. Така. Најдобриот совет што сум го добил од брат ми Златко е... То
Db8HxRLxPW4.mp4;no;12;0;Многупати младите добиваат критики дека недоволно ја знаат, недоволно ја ценат македонската музика. Од друга страна, па на твои концерти гледаме кадешто младите одлично ја знаат твојата музика и воопшто, и народни, и изворни песни, гледаме по концерт
Db8dngUFLoa.mp4;no;26;0;Шпекулациите за наводна појава на ешерихија ги натераа дел од граѓаните да си купат флаширана вода. Во некој маркети рафтовите почнаа да се празнат. Купувачите велат дека набавуваат вода за секој случај. Едни купуваат по неколку шишиња, други пак нос
DbF1wNDxGAv.mp4;no;16;0;Колку можеме да ги предвидиме тие временски непогоди, односно колку дена однапред можеме да знаеме дека едно вакво невреме ќе зафаќа еден конкретен регион? Може ли толку детално и прецизно во денешно време да се предвиди? Значи, неколку денови порано
DbIrVuUSRbW.mp4;no;28;0;Ефче, некако застанавме кај тебе да ти дадаме малку простор да ни раскажеш за инфлуенсерството, колку во Македонија се сфаќа ова како сериозна професија, би рекла, бидејќи и сериозно се заработува од истото и колку е важно да ја освоиш публиката, да 
DbLYDS3xTKR.mp4;no;23;0;Антонио Пандовски и Нела Стојанова уште еднаш покажаа дека хуманоста и љубовта можат да ги поместат границите на издржливоста. Трчаа 85 км маратон во чест на 11 годишно момче Роман, кој е боледова од ретки болести. Антонио и Нела трчаа на делницата С
DbLuZSUxTTG.mp4;no;24;0;За 10 дена 3850 гостиварци побарале лекарска помош поради стомачни тегови. И покрај трендот на намалување на бројките на прегледи, се уште има болни кои со дијареа и повраќање се обратиле во болницата и во здраствениот дом. Додека надлежните на терен
DbQLonlxln1.mp4;no;18;0;Ние не имаме градежна инспекција за жал, многу пати го говорам во јавноста како една од аномалиите која што недостасува но Сме го говореле тоа и со Министерот за транспорт и врски, околу потенцијалните измени на законот, но и со претседателот на влад
DbV2nHixBSt.mp4;no;26;0;Премиерот Мицкоски очекува следната недела да има поголемо намалување на цените на бензините и дизелот, откако суровата нафта на светските пазари падна на околу 86 долари за барел. Тој најави дека во понеделник владата ќе направи нова анализа на цени
DbWBxd8xFQF.mp4;no;16;0;Уапсен е македонскиот државјанин Андреј Танасковски, кој пред една година се обиде да убие член на криминална банда од Будва. 19-годишниот Танасковски бил пронајден во таен стан во Никшиќ. По распитот во полиција, Вишото државно обвинителство во Подг
DbYajeiRmeX.mp4;no;30;0;Две млади лица биле спасени од водите на Охридското езеро, откако поради нагло влошување на временските услови не можеле да се вратат на брегот. Тие со субдаските на околу илјада метри оддалечени од автокамп во Охрид со извикување барале помош. Случа
DbaYSYKRyK7.mp4;no;18;0;Најголем дел од луѓето нема да знаат дека некогаш биле заразени со овој вирус, односно дека ја прележале болеста, затоа што најголем дел од нив, односно преко 80%, нема да развијат никогаш никакви симптоми. Останатите 20%, нешто помалку 20%, ќе разви
DbsRQ5NxLsb.mp4;no;14;0;Кога температурите растат, совеста се намалува, а изворот се празни. Дали технологијата може да им помогне и на земјоделците, и на природата? Технологијата, мислам дека во иднина ќе биде основен двигател на како се работи земјоделието, како функциони
DbtCb5ax1Vh.mp4;no;28;0;Една чаша вода на секој 15 минути да пијат лица кои престојуваат подолго време на отворено и имаат интензивна физичка работа. На пеколните горештини најважна е хидратацијата на телото, но и почитување на основните препораки за заштита. Пишува на сајт
DcJEr_YxpAu.mp4;no;11;0;Песни му праќав и се губиме веќе што толку многу му праќав, ама за оваа песна, навистина, многу брзо се одлучивме. Некако самата енергија беше поинаква од сите останати песни, затоа што претежно пишувам балади, и оваа песна дозволуваше да има една та
DcJHtgHR2MB.mp4;no;4;0;Според вас, до каде сме? Може ли нешто да се подобри во однос на музиката? Е стварно голем плус, бидејќи македонците си ја поддржуваат својата музика и баш гледав и некоја интервјуа каде што доста од македонците ги прашуваат каков тип на музика слуша
