video,start,end,text,reason
DWZWCFrDZ6P.mp4,3.0,4.0,IV ДЕHАР ИНВЕСТИЦИJ ПАМЕТНИ ГЛАВИ ОПИС НА ИНВЕСТИЦИЈАТА -90 МИНУТИ ЧИСТА НАУЧНА АКЦИЈА ДОБИВКИ РОДИТЕЛИТЕ BO ЗА UP! ИНЖЕНЕР ДОМА А НЕ САМО ГЕМЕР! ПОДОБРЕНИ ВЕШТИНИ ЗА РЕШАВАНЕ и HAYKA МНОГУ НА ПРОЕ УЧЕСНИК (ДЕТЕ) Име и Презиме: Датум:,bad transcript filter
DWZWCFrDZ6P.mp4,4.0,5.0,"UCATION HAT SP 6И3НИС ИНВЕСТИЦИЗА BO ПАМЕТНИ ГЛАВИ ОПИС НА ИНВЕСТИЦИЈАТА ДОБИВКИ ЗА РОДИТЕЛИТЕ ИНЖЕНЕР ДОМА А НЕ САМО ГЕМЕР! УЧЕНЕ ЗА РОБОТИ, ПРОГРАМИРАНЕ И НАУКА МНОГУ ЗАБАВА И НОВИ ДРУГАРИ УЧЕСНИК (ДЕТЕ) Име и Презиме: Датум: РОДИТЕЛИ (ИНВЕСТИТОРИ) Име на Родителотите: РОБО АВАНТУРА",bad transcript filter
DWZWCFrDZ6P.mp4,8.0,9.0,"UCATIOL Sl AT Вештачката интелегенција вeќe e ce! АВИ знае 80 1Q UP ДОБИВКИ ЗА РОДИТЕЛИТЕ - ИНЖЕНЕР ДОМА.А НЕ САМО ГЕMЕР УЧЕНЕ ЗА РОБОТИ, ПРОГРАМИРАНЕ И НАУКА ПОДОБРЕНИ ВЕШТИНИ ЗА РЕШАВАНЕ НА ПРОБЛЕМИ МНОГУ ЗАБАВА И НОВИ ДРУГАРИ УЧЕСНИК (ДЕТЕ) Име и Презиме: Датум: РОДИТЕЛИ (ИНВЕСТИТОРИ) Име на Родителотите: РОБО АBАHТУРА",bad transcript filter
DWZWCFrDZ6P.mp4,9.0,10.0,UCATIO HAT SF БИЗНИС ИНВЕСТИЦИЗ ПAMETHИ ГЛАВИ Проблемот т не е до технологијата РОДИТЕЛИ (ИНВЕСТИТОРИ) Име на Родителотите: АBАHТYPA,bad transcript filter
DWZWCFrDZ6P.mp4,11.0,12.0,"UCATION HAT SP o БИЗНИСИНВЕСТИЦИЖА BO ПАМЕТНИ ГЛАВИ ОПИС НА ИНВЕСТИЦИЖАТА -9О МИНУТИ ЧИСТА НАУЧНА АКЦИЗА ВО УР ДОБИВКИ ЗА РОДИТЕЛИТЕ ИНЖЕНЕР ДОМА, А НЕ САМО ГЕМЕР -МНОГУ ЗАБАВА И НОВИ ДРУГАРИ УЧЕСНИК (ДЕТЕ) Име и Презиме: Датум: РОДИТЕЛИ (ИНВЕСТИТОРИ) Име на Родителотите: РОБО АВАНТУРА",bad transcript filter
DWZWCFrDZ6P.mp4,13.0,14.0,"3HИC БИЗНИС OBO ОД 500 ДЕНАРИ BO ИНВЕСТИЦИЈА ПАМЕТНИ ГЛАВИ ОПИС НА ИНВЕСТИЦИЈАТА -90 МИНУТИ ЧИСТА НАУЧНА АКЦИЛА В0 1 УР! ДОБИВКИ 3A РОДИТЕЛИТЕ -ИНЖЕНЕР ДОМА,А HЕ САМO ГEЛMЕР! УЧЕНЕ ЗА РОБОТИ, ПРОГРАМИРАНЕ И ИАУКА - МНОГУ ЗАБАВА И НОЕИ ДРУГАРИ УЧЕСНИК (ДЕТЕ) Иие и Прежие РОДИТЕЛИ (ИНВЕСТИТОРИ) РОБО АВАHТУРА jac ccamo тукушто гледам, а ne создавам",bad transcript filter
DWZWCFrDZ6P.mp4,14.0,15.0,"ОВО ЗА ИНВЕСТИЦИЛА ОД Б00 ДЕНАРИ ИНВЕСТИЦИЈА ИЗНИС ГЛАВИ ПАМЕТНИ BO ИНВЕСТИЦИЈАТА HA ЧИСТА НАУЧНА АКЦИЛА ВО 19 УР! ИC МИНУТИ ЗА РОДИТЕЛИТЕ camo БИВКИ CAMI ДОМА, AIIE создава MI тукушто јас a ne ледам,",bad transcript filter
DWZWCFrDZ6P.mp4,15.0,16.0,"БИЗНИС ДОГОВОР ЗА ИНВЕСТИЦИЖА ОД 500 ДЕНАРИ БИЗНИС ИНВЕСТИЦИЖА BO ПАМЕТНИ ГЛАВИ HA ИНВЕСТИЦИЖАТА 90 МИНУТИ ЧИСТА HАУЧHA АКЦИЈА BO IQ UP! ДОБИВКИ 3A РОДИТЕЛИТЕ ИHЖЕHЕР ДОМА, A HE CAMO FEIMERI 6u3HNC УЧЕЊЕ ЗА РО 6apam HAУKA Bu нода од РОБЛЕМ МНОГУ инвестиција денари!!! 500 ЧЕСНИК е и Преzиме: YM: ИТЕЛИ (ИНВЕСТИТОРИ)",bad transcript filter
DWZWCFrDZ6P.mp4,16.0,18.0,UC HA барam би3нис инвестиција 500 денари!!!,bad transcript filter
DWZWCFrDZ6P.mp4,23.0,24.0,OSO ABAY РОДИТЕЛИ(ИНВЕ Датумс Име и Презиме. УЧЕСНИК (ДЕТЕ) -МНОГУ ЗАБАВА ИНОВ e -ПОДОБРЕНИ BEWTИ -УЧЕЊЕ ЗА РОВОЙ ИHЖЕH 90 HAY4HA МИНУТИ ЧИСТА АКЦИЈА ВО 1Q УР! ИНВЕСТИЦИJАТА HA ОННС ПАМЕТНИ ГЛАВИ BO ИНВЕСТИЦИЗА У3НИС,bad transcript filter
DWZWCFrDZ6P.mp4,27.0,28.0,IQ UP!,bad transcript filter
DWZWCFrDZ6P.mp4,28.0,29.0,idnol,bad transcript filter
DWZWCFrDZ6P.mp4,29.0,30.0,iano llds NO,bad transcript filter
DWZWCFrDZ6P.mp4,34.0,35.0,ДА,bad transcript filter
DWZWCFrDZ6P.mp4,35.0,36.0,100,bad transcript filter
DWZWCFrDZ6P.mp4,39.0,42.0,Научна работилница РОБО-АВАНТУРА Вашето дете ќе: Мисли како научник Создава како инженер Решава како програмер EDUCATION UP! THAT INSPIRES IQ UP! методологија развој на интелигенциjaта 3a Локација: Времетраење: Цена: 90 минути IQ UР! училишните центри низ државата 500 денари,bad transcript filter
DWZWCFrDZ6P.mp4,42.0,45.0,Научна работилница UP РОБО-АВАНТУРА Вашето дете ke: Мисли како Создава kако Решава како научник програмер инженер развоj нa интелигенција IQ UP! методологија 3a Цена: Локација: Времетраење: IQ UP! училишните центри низ држа 90 минути 500 денари,bad transcript filter
DWwZMWEjCxc.mp4,0.0,1.0,VISA -20 00 Абе страх меe!!,bad transcript filter
DWwZMWEjCxc.mp4,44.0,45.0,H,bad transcript filter
DWwZMWEjCxc.mp4,46.0,47.0,ЗОСТОNИ,bad transcript filter
DX7oYsIMSaV.mp4,13.0,14.0,TOA E INVISACOOK.,bad transcript filter
DXJlDwcDDQd.mp4,9.0,10.0,INVISACOOK.,bad transcript filter
DXR2agbiGLt.mp4,0.0,1.0,09 L5O,bad transcript filter
DXR2agbiGLt.mp4,13.0,14.0,POSTI 601 МАЈЦА ИМАШ ЛИ ОДОЗДОЛА?,bad transcript filter
DXR2agbiGLt.mp4,14.0,15.0,"CST1.60 БОЖЕ, КЕИ3МР3HА ДЕТТО!",bad transcript filter
DXR2agbiGLt.mp4,18.0,19.0,papress,bad transcript filter
DXR2agbiGLt.mp4,30.0,31.0,ЧЕКАЛ,bad transcript filter
DXR2agbiGLt.mp4,33.0,34.0,ДОЛДИ,bad transcript filter
DXR2agbiGLt.mp4,36.0,38.0,ЕДНА СЕГА ДА ИМА Е 500 express,bad transcript filter
DXR2agbiGLt.mp4,40.0,41.0,ДА express,bad transcript filter
DXR2agbiGLt.mp4,41.0,42.0,express,bad transcript filter
DXuZ7HwEV_1.mp4,0.0,1.0,"ПРЕТХОДНАТА БЛАДА 1,000 INEOMAY",bad transcript filter
DXuZ7HwEV_1.mp4,1.0,2.0,"НА ВМРО ВОВЕДЕ CO 1,000 INEOMAXMK INEOMAY",bad transcript filter
DXuZ7HwEV_1.mp4,2.0,4.0,"ЗАКОН РЕГИСТАР 1,000 INEOMAX.MK "" INEOMAXMK",bad transcript filter
DXuZ7HwEV_1.mp4,4.0,5.0,"HA F ПЕДОФИЛИЈА. 1,000 INEOMAX.MK ANEOM",bad transcript filter
DXuZ7HwEV_1.mp4,5.0,6.0,"СДСГО УКИНА. 1,000 THEOMAY",bad transcript filter
DXuZ7HwEV_1.mp4,6.0,7.0,"INFOMAXMK ЕБАTAINFOMAX.MK 1,000 СДС ГО УКИНА.",bad transcript filter
DXuZ7HwEV_1.mp4,7.0,8.0,"ГО НЕМА ОНЛАЈН. 1,000 d INEOMAX MK",bad transcript filter
DXuZ7HwEV_1.mp4,8.0,9.0,"РЕГИСТАР 3A 1,000 ДЕБАТА d INEOMAX.MK AINF",bad transcript filter
DXuZ7HwEV_1.mp4,9.0,10.0,"ПЕДОФИЛИ ИМАУ 1,000 ЛЕБАТА d",bad transcript filter
DXuZ7HwEV_1.mp4,10.0,12.0,"ЦЕЛ ЦИВИЛИЗИРАН 1,000 ЛЕБАТА ,",bad transcript filter
DXuZ7HwEV_1.mp4,12.0,13.0,"ЗАПАДЕН CBET. 1,000 ЛЕБАТА INEOMAX.MK ..",bad transcript filter
DXuZ7HwEV_1.mp4,13.0,14.0,"НА ПЕДОФИЛИ 1,000 INFOMAX.MK",bad transcript filter
DXuZ7HwEV_1.mp4,14.0,15.0,"1,000 INFOMAX.MK",bad transcript filter
DXuZ7HwEV_1.mp4,15.0,16.0,"ВЛАДА НА ВМРО 1,000 INEOMAX.MK",bad transcript filter
DXuZ7HwEV_1.mp4,16.0,17.0,"ДПМНЕ, СДСМ 1,000 MAX.MK INFOMAX.MK",bad transcript filter
DXuZ7HwEV_1.mp4,17.0,18.0,"ДПМНЕ, СДСМ 1,000 НЕОМАX.МК INEOMAX MV",bad transcript filter
DXuZ7HwEV_1.mp4,18.0,19.0,"ДОЈДЕ ЈА УКИНА. 1,000 NEOMAX.MK INEOMAX.MK",bad transcript filter
DXuZ7HwEV_1.mp4,19.0,20.0,"УКИНА, ТУКУ ИМА 1,000 bOMAKC IINEO",bad transcript filter
DXuZ7HwEV_1.mp4,20.0,21.0,"УКИНА, ТУКУ ИМА 1,000 ИНФОМАКС",bad transcript filter
DXuZ7HwEV_1.mp4,21.0,22.0,"ЕДНА ПОЗИЦИА ДЕКА 1,000 ИНФОМАКС",bad transcript filter
DXuZ7HwEV_1.mp4,22.0,23.0,"ТОА НЕ БИЛО 1,000 ИНФОМАКСФ",bad transcript filter
DXuZ7HwEV_1.mp4,23.0,24.0,"1,000 ИНФОМАКО",bad transcript filter
DXuZ7HwEV_1.mp4,24.0,25.0,"КРИВИЧНО ДЕЛО ОД 1,000 OMAXMK ИНФОМАКС",bad transcript filter
DXuZ7HwEV_1.mp4,25.0,26.0,"КРИВИЧНО ДЕЛО ОД 1,000",bad transcript filter
DXuZ7HwEV_1.mp4,26.0,27.0,"1,000",bad transcript filter
DXuZ7HwEV_1.mp4,27.0,28.0,"1,000 хмк INEOMAXMK",bad transcript filter
DXuZ7HwEV_1.mp4,28.0,29.0,"ТУКУ БИЛО НСИХИЧКА 1,000 ОМAХМК",bad transcript filter
DXuZ7HwEV_1.mp4,29.0,30.0,"TYKY БИЛО НСИХИЧКА 1,000",bad transcript filter
DXuZ7HwEV_1.mp4,30.0,31.0,"1,000",bad transcript filter
DXuZ7HwEV_1.mp4,31.0,32.0,"ПА ДУРИ И ВО 1,000",bad transcript filter
DXuZ7HwEV_1.mp4,32.0,33.0,"ДЕЛ ГИ СТАВАА 1,000 d",bad transcript filter
DXuZ7HwEV_1.mp4,33.0,34.0,"B 1,000",bad transcript filter
DXuZ7HwEV_1.mp4,34.0,35.0,"ОНИЕ УЛТРА ХАРДКОР, 1,000",bad transcript filter
DXuZ7HwEV_1.mp4,35.0,36.0,"ХАРКОР ЛЕВИЧАРИ 1,000",bad transcript filter
DXuZ7HwEV_1.mp4,36.0,37.0,"ХАРКОР ЛЕВИЧАРИ. 1,000 ИНЕОМАХ ЛЕБАТА",bad transcript filter
DXuZ7HwEV_1.mp4,37.0,38.0,"ТОА БЕА ГРУПИ 1,000 НЕОМАХ ЛЕБДТЛ -r",bad transcript filter
DXuZ7HwEV_1.mp4,38.0,39.0,"КОИШТО В BEA 1,000 MAX.MK INEOMAY ЛЕБА",bad transcript filter
DXuZ7HwEV_1.mp4,39.0,40.0,"УЛТРА РАДИКАЛНИ. 1,000 INFOMAX.MK DINEOMAX ПЕБДТ",bad transcript filter
DXuZ7HwEV_1.mp4,40.0,41.0,"ДУРИ ВРШЕА ПРИТИСОЦИ 1,000 INFOMAX MK",bad transcript filter
DXuZ7HwEV_1.mp4,41.0,42.0,"ДУРИ ВРШЕА ПРИТИСОЦИ 1,000",bad transcript filter
DXuZ7HwEV_1.mp4,42.0,43.0,"ДАВАА ПАРИ ЗА... 1,000 OMAX.MK INEOMAX MK",bad transcript filter
DXuZ7HwEV_1.mp4,43.0,44.0,"ДАВАА ПАРИ ЗА. 1,000 NEOMAX мк",bad transcript filter
DXuZ7HwEV_1.mp4,44.0,45.0,"ДАВАА ПАРИ ЗА... 1,000 ТНЕОМДХ УЕОМДХ",bad transcript filter
DXuZ7HwEV_1.mp4,45.0,46.0,"1,000 OMAKC f INFOMAX.MK",bad transcript filter
DXuZ7HwEV_1.mp4,46.0,47.0,"ЗАЛУБРИКАНТИ. 1,000 ФОМАКС f INFOMAXMK TNEO",bad transcript filter
DXuZ7HwEV_1.mp4,47.0,48.0,"ЕДНА ПРЕПОРАКА 1,000 INEOMAXMK",bad transcript filter
DXuZ7HwEV_1.mp4,48.0,50.0,"ДО ДО ЕВЕ, ДО 1,000 НEOMAXMK",bad transcript filter
DXuZ7HwEV_1.mp4,50.0,51.0,"ОВА ВЛАДЕАЧКО 1,000 AX.MK",bad transcript filter
DXuZ7HwEV_1.mp4,51.0,52.0,"1,000",bad transcript filter
DXuZ7HwEV_1.mp4,52.0,53.0,000'1S ЗАКОНОТ,bad transcript filter
DXuZ7HwEV_1.mp4,53.0,54.0,"РЕГИСТАР HA 1,000 INFOMAX.MK",bad transcript filter
DXuZ7HwEV_1.mp4,54.0,55.0,"ПЕДОФИЛИ, КАКО 1,000 MK",bad transcript filter
DXuZ7HwEV_1.mp4,55.0,56.0,"ВО ЦЕЛ СВЕТ. 1,000 NEOMAXMK",bad transcript filter
DYKO2TYgQId.mp4,0.0,1.0,Околуеден,bad transcript filter
DYKO2TYgQId.mp4,8.0,9.0,imlek NERA CAFF Nera caffe Секаде со тебе,bad transcript filter
DYKO2TYgQId.mp4,9.0,11.0,imlek NERA CAFFE caffe Секаде Nera CO тебе,bad transcript filter
DYKO2TYgQId.mp4,17.0,18.0,11,bad transcript filter
DYKO2TYgQId.mp4,18.0,20.0,Инајлошото,bad transcript filter
DYKO2TYgQId.mp4,49.0,50.0,н,bad transcript filter
DYKgJ4YOJx5.mp4,40.0,41.0,TAMY?,bad transcript filter
DYKi8-LM7Rh.mp4,4.0,5.0,ОБРАЗОТ,bad transcript filter
DYM-DxmuFQJ.mp4,13.0,14.0,ДАНЕ...,bad transcript filter
DYM-DxmuFQJ.mp4,14.0,15.0,AA HE... CO XJY ХЕФНEР,bad transcript filter
DYM-DxmuFQJ.mp4,18.0,19.0,HO HE 5N ПРОМЕНИЛ HИШТО BO MOJOT,bad transcript filter
DYM-DxmuFQJ.mp4,30.0,31.0,ОДГОВОРИ,bad transcript filter
DYM-DxmuFQJ.mp4,54.0,55.0,"ПАДОВИ,",bad transcript filter
DYM-DxmuFQJ.mp4,57.0,58.0,"ОДЛУБУВАНЕ,",bad transcript filter
DYMblIXEtRZ.mp4,24.0,25.0,"ПРИЕМ,",bad transcript filter
DYMblIXEtRZ.mp4,25.0,27.0,"HA 7 MAJ,",bad transcript filter
DYMblIXEtRZ.mp4,32.0,33.0,"ОСЛОБОДУВАЊЕТО,",bad transcript filter
DYMblIXEtRZ.mp4,34.0,35.0,ФАШИЗМОТ.,bad transcript filter
DYMblIXEtRZ.mp4,41.0,42.0,"BAKA,",bad transcript filter
DYMblIXEtRZ.mp4,48.0,49.0,"МЕДИУМИТЕ,",bad transcript filter
DYMblIXEtRZ.mp4,50.0,51.0,"РАМКОВСКИ,",bad transcript filter
DYMblIXEtRZ.mp4,74.0,75.0,"CДCМ,",bad transcript filter
DYMblIXEtRZ.mp4,83.0,84.0,5 KAHAЛ,bad transcript filter
