audio,text
clips/dvy8sdgeqtb_000001.wav,ac само гледам! РАДАР
clips/dvy8sdgeqtb_000002.wav,He нитувам HИШТО Jac само гледам! РАДАР
clips/dvy8sdgeqtb_000003.wav,расипувач на забава
clips/dvy8sdgeqtb_000004.wav,Опааа... саа ке вуда вие со топката забава Ha рaсипувaч
clips/dvy8sdgeqtb_000005.wav,Опааа.. саа ке вида вие со топката расипувач на забава
clips/dvy8sdgeqtb_000006.wav,расипувач на забава
clips/dvy8sdgeqtb_000007.wav,"с не оговарам, јас нејкам да кажам кој го ОГОВАРАЧКА"
clips/dvy8sdgeqtb_000008.wav,рубрето вонка фрле контењеро ОГОВАРАЧКА
clips/dvy8sdgeqtb_000009.wav,Рада дане излезеоти маалта била ѓубрарката у ОГОВАРАЧКА
clips/dvy8sdgeqtb_000010.wav,Рада да He излезе OTИ рy6papkaта y маалта ила ОГОВАРАЧКА
clips/dvy8sdgeqtb_000011.wav,Рада да He излезеоти y маалта билагубрарката ОГОВАРАЧКА
clips/dvy8sdgeqtb_000012.wav,Рада да ne излезе ОТИ ла ѓубрарката y маал ОГОВАРАЧКА
clips/dvy8sdgeqtb_000013.wav,"Бабее.. ела тука Ha Савето, ФЕЈСБУКЏИКА"
clips/dvy8sdgeqtb_000014.wav,SA SAVE нешто.. ФЕЈСБУКЏИКА
clips/dvy8sdgeqtb_000015.wav,Ha Mapa рецепт да пуштам! ФЕЈСБУКЏИКА
clips/dvy8sdgeqtb_000016.wav,"ВИДОВИТА, CE ОНА ШО ЗНАА Баба.. ЗНАЛААХ Ha јас оти ќе се разболе"
clips/dvy8sdgeqtb_000017.wav,"ВИДОВИТА, CE OHA шо 3HAA ac дете, го гледам од зчера нешто малаксанко"
clips/dvy8sdgeqtb_000018.wav,Eee боле.. СИЧКО me me болат.. веенте QUEEN ДРАМА
clips/dvy8sdgeqtb_000019.wav,E ee СИЧКО боле.. me веенте болат... me ДРАМА QUEEN
clips/dvy8sdgeqtb_000020.wav,"лите me болат, можам, ја e да QUEEN ДРАМА"
clips/dvy8sdgeqtb_000021.wav,"жилите ме болат, СИЧКО. не можам, ја да станам QUEEN ДРАМА"
clips/dvy8sdgeqtb_000022.wav,"илите ме болат, СИЧКО. QUEEN ДРАМА"
clips/dvy8sdgeqtb_000023.wav,Шо баба? ГОТВАЧКА
clips/dvy8sdgeqtb_000024.wav,"Не си гладен? Ако, ке јадеш! ГОТВАЧКА"
clips/dvy8sdgeqtb_000025.wav,Шо било расипано! СЕ САМА МОЖЕ
clips/dvy8sdgeqtb_000026.wav,Шо? Соc... Сок... Сол? НАГЛУВА
clips/dvy8sdgeqtb_000027.wav,Имам теорија ТЕОРЕТИЧАРКА
clips/dvy8sdgeqtb_000028.wav,Оти тајсо BMW OH неезето ТЕОРЕТИЧАРКА
clips/dvy8sdgeqtb_000029.wav,он е љубовнико! ТЕОРЕТИЧАРКА
clips/dvy8sdgeqtb_000030.wav,"А тај со каравано Аудито, е он е ТЕОРЕТИЧАРКА"
clips/dvy8sdgeqtb_000031.wav,Ee.. e... ТЕОРЕТИЧАРКА
clips/dvy8sdgeqtb_000032.wav,н ке бидаме шо ќе е! ТЕОРЕТИЧАРКА
clips/dvy8sdgeqtb_000033.wav,"Ева, ева!! Шо биде бе баба? Падна ни? ЛИЦЕМЕРНА"
clips/dvy8sdgeqtb_000034.wav,"Шо биде Ева, ева!! бе баба? Падна ли? ЛИЦЕМЕРНА"
clips/dvy8sdgeqtb_000035.wav,ЛИЦЕМЕРНА ака и ти треба да знааш!
clips/dvy8sdgeqtb_000036.wav,"Бабе, јас ne 3HaM 3a болести! СПОРТИСТА CTOP LIFE"
clips/dvy8sdgeqtb_000037.wav,Болестите знаат за мене!! СПОРТИСТА CTOP LIFE
clips/dvy8sdgeqtb_000038.wav,мене!! 3HaaTзa СПОРТИСТА TOP LIFE
clips/dvy8sdgeqtb_000039.wav,СПОРТИСТА TOP LIFE
clips/dvy8sdgeqtb_000040.wav,Живото е чудо!!! ФИЛОЗОФ
clips/dvy8sdgeqtb_000041.wav,чудото Ama да здосаде! може ФИЛОЗОФ
clips/dvl1rifdevf_000000.wav,КАКО ДА ГОТВИТЕ
clips/dvl1rifdevf_000001.wav,- РАБОТНАТАПЛОЧА
clips/dvl1rifdevf_000002.wav,8 ИНДУКЦИЗА NYSICOOK
clips/dvl1rifdevf_000003.wav,САМАТА ТАА ПОВРШИНА
clips/dvl1rifdevf_000004.wav,"ИСТИОТ ПРОСТОР,"
clips/dvl1rifdevf_000005.wav,ВРЕДНА РАБОТНА
clips/dvl1rifdevf_000006.wav,ПОВРШИНА И
clips/dvl1rifdevf_000007.wav,ОДРЖУВАЈКИ ЈА
clips/dvl1rifdevf_000008.wav,КУЗНАТА ЧИСТА И
clips/dvl1rifdevf_000009.wav,"БЕЗ РИНГИ, БЕЗ"
clips/dvl1rifdevf_000010.wav,"КОМАНДИ, 5E3"
clips/dvl1rifdevf_000011.wav,"НЕРЕД, САМО"
clips/dvl1rifdevf_000012.wav,РАБОТЕН ПРОСТОР И
clips/dvnohhpjhzn_000000.wav,анеизедаме додека
clips/dvnohhpjhzn_000001.wav,флевамедом цодека неизедаме
clips/dvnohhpjhzn_000002.wav,Нема на децата даване
clips/dvnohhpjhzn_000003.wav,треба He децата TakBO дајадат
clips/dvnohhpjhzn_000004.wav,децата нетреба TakBo дајадат
clips/dvnohhpjhzn_000005.wav,ФасуH дома Златен
clips/dvnohhpjhzn_000006.wav,Ама оти говораш?
clips/dvnohhpjhzn_000007.wav,Снежe ти неговори еден 0TOCT евиима тебеудзад 3a
clips/dvnohhpjhzn_000008.wav,тинеговори снеже TOCT eден има за тебеудзад
clips/dvnohhpjhzn_000009.wav,ти не говор AjСнеже TOCT еден ума влеви за тебе удзад
clips/dvnohhpjhzn_000010.wav,за тебе удзад влеви имаеден TOCT Ај Снеже ти не говори
clips/dvnohhpjhzn_000011.wav,СИ МАНАЦИЙ влевиaj.
clips/dvthvkmce1f_000000.wav,црвена Ало Беттче... Падна ви секирта у медо! FILA FIL
clips/dvthvkmce1f_000001.wav,"црвена Ного арен дечко има таа твојта внукичка, ного ме аресе!! FILA FIL"
clips/dvthvkmce1f_000002.wav,црвена FILA
clips/dvthvkmce1f_000003.wav,црвена Е не го познавам. Е шо е битно FILA
clips/dvthvkmce1f_000004.wav,цpвена од коо фамилија е? Човеко по пазарл'ко се познава. FILA FIL
clips/dvthvkmce1f_000005.wav,црвена как шо има врска?!?! E FIL FILA
clips/dvthvkmce1f_000006.wav,црвена FILA
clips/dvthvkmce1f_000007.wav,"Некни СЛУЧАЛНО го видех, грабнал 5-6 кесина"
clips/dvthvkmce1f_000008.wav,MARKETV црвена Значи јако дете
clips/dvthvkmce1f_000009.wav,"MAPKEТИ црвена Друго, пазарува од ЦРВЕНА РУЖА марКЕТИ"
clips/dvthvkmce1f_000010.wav,"Друго, пазарува од ЦРВЕНА РУЖА марКЕТИ"
clips/dvthvkmce1f_000011.wav,"там е најефтино! Значи ЕКОНОМИчЕН е,"
clips/dvthvkmce1f_000012.wav,Значи ЕкОномичен там е најефтино!
clips/dvthvkmce1f_000013.wav,Трето патриот е! Купува од наши маркети - струмички
clips/dvthvkmce1f_000014.wav,маркети - струмички Трето патриот е! Купува од наши
clips/dvthvkmce1f_000015.wav,Трето патриот е! Купува од наши маркети-струмички
clips/dvthvkmce1f_000016.wav,маркети-струмички Трето патриот е! Купува од наши
clips/dvthvkmce1f_000017.wav,"Некни, макнаше цогер, тенцерина играчки. СЕ од Црвена Ружа"
clips/dvthvkmce1f_000018.wav,"pyaa Значи неерашатар, купува се од едно место!"
clips/dvthvkmce1f_000019.wav,Зашо ти свонам?!
clips/dvthvkmce1f_000020.wav,нема за внукичката??
clips/dvthvkmce1f_000021.wav,Да питах тама некој братучедд нема за внукичката??
clips/dvthvkmce1f_000022.wav,Еј исклучи ми!
clips/dvthvkmce1f_000023.wav,am нeкоj зет на акција jac
clips/dvyd8hrk8_5_000000.wav,Баб Ружо
clips/dvyd8hrk8_5_000001.wav,OKEMON OKE Абе шо правате?!?!
clips/dvyd8hrk8_5_000002.wav,Баб Ружо!!
clips/dvyd8hrk8_5_000003.wav,Еј е кере шо?
clips/dvyd8hrk8_5_000004.wav,"играат си, мирни се..."
clips/dvyd8hrk8_5_000005.wav,Глас нема...
clips/dvyd8hrk8_5_000006.wav,ремнала сам малко од a серијата шо га гледах
clips/dvyd8hrk8_5_000007.wav,Ај бабе една чаша војчка ми донеси.
clips/dvyd8hrk8_5_000008.wav,ми донеси.
clips/dvyd8hrk8_5_000009.wav,Сее под контрол...
clips/dvyd8hrk8_5_000010.wav,Нe se skиrи. Ај на баба...
clips/dvyd8hrk8_5_000011.wav,златни деца мори!!!
clips/dvyd8hrk8_5_000012.wav,"Види ги, ного ме слушат!"
clips/dw1yynhcnj4_000000.wav,ntur S АБЕ ДЕКА СТЕ?
clips/dw1yynhcnj4_000001.wav,express ЈА ДОЈДЕМЕ
clips/dw1yynhcnj4_000002.wav,ipres ЛА ДОЈДЕМЕ
clips/dw1yynhcnj4_000003.wav,СЕ ЛИ ЗЕМАТЕ ОД ДОМА?
clips/dw1yynhcnj4_000004.wav,ДА ЗЕМАМЕ
clips/dw1yynhcnj4_000005.wav,ОДОБРЕНИЕ ОД РОДИТЕЛ?
clips/dw1yynhcnj4_000006.wav,КАЖАТЕ ЛИ СЕ ДОМА?
clips/dw1yynhcnj4_000007.wav,А ПАСОШИ?
clips/dw1yynhcnj4_000008.wav,ИМАМЕ ИМАМЕ
clips/dw1yynhcnj4_000009.wav,А БАБА РУЖА?
clips/dw1yynhcnj4_000010.wav,BE БАБЕКЕМ ПУЛЕКА ЗАБОРАВАТЕ
clips/dw1yynhcnj4_000011.wav,КЕ МЕ ЗАБОРАВААТЕ
clips/dw1yynhcnj4_000012.wav,"S2 АЈДЕБАБО РYЖА, ДАВАЛТОРБИТЕ"
clips/dw1yynhcnj4_000013.wav,SCWA АЈДЕ
clips/dw1yynhcnj4_000014.wav,"AKO ГОСПОД ТЕ ЗАБРАЕ,"
clips/dw1yynhcnj4_000015.wav,SOWA НИЕНЕМА ДА ТЕ ЗАБРАЕМЕ.
clips/dw1yynhcnj4_000016.wav,ress HИЕНЕМА АДА ТЕ ЗАБРАЕМЕ.
clips/dw1yynhcnj4_000017.wav,ШО СТЕ
clips/dw6rwhydbqa_000000.wav,нааш.шо иманово?
clips/dw6rwhydbqa_000001.wav,Цел градговореза нег
clips/dw6rwhydbqa_000002.wav,Hе се дружи.сo Vера
clips/dw6rwhydbqa_000003.wav,"MEHE, немеинтерес"
clips/dw6rwhydbqa_000004.wav,"MEHE, не ме интересире ништо!"
clips/dw6rwhydbqa_000005.wav,Абе.слуши саа ти.
clips/dw6rwhydbqa_000006.wav,работи ТИИ ЖЕHО!
clips/dw6rwhydbqa_000007.wav,Знаате ли шоимановоуградо
clips/dw6rwhydbqa_000008.wav,HOBO КОНЦ
clips/dw6rwhydbqa_000009.wav,HOBO КОНЦЕПТ МЕНИ...
clips/dw6rwhydbqa_000010.wav,ПРОТЕИН и
clips/dw6rwhydbqa_000011.wav,Затва љее ткв
clips/dw6rwhydbqa_000012.wav,атва лее тква стегнана?
clips/dw6rwhydbqa_000013.wav,рагалаа ти-па! МИШ Taa
clips/dw6rwhydbqa_000014.wav,Какво порачуване Снежо!
clips/dw6rwhydbqa_000015.wav,Последенпат од интернет
clips/dw6rwhydbqa_000016.wav,заглувци! непак 3a
clips/dw6rwhydbqa_000017.wav,pekt уКонцепт одаме!
clips/dw6rwhydbqa_000018.wav,Henu не те и H
clips/dw6rwhydbqa_000019.wav,"He Te интepeсираше?! Pyжo, Ружооо."
clips/dw6rwhydbqa_000020.wav,"елине Te интересираше?! Pyжo, Ружооо"
clips/dw6rwhydbqa_000021.wav,Aј Снеже врви пр
clips/dw9ryljdjhl_000000.wav,"Слуши, ке ти кажам шо сам разберала"
clips/dw9ryljdjhl_000001.wav,ама на никоJ не смееш да зуцнаш!!!
clips/dw9ryljdjhl_000002.wav,EBAAA!! ШО РАСПРАВАШ!!!
clips/dw9ryljdjhl_000003.wav,INGNEWS BREA Се јавуваме уд центаро на Струмица BREAKING LIVE NEWS
clips/dw9ryljdjhl_000004.wav,OREAKINGNE Се јавуваме уд центаро на Струмица BREAKING NEWS LIVE
clips/dw9ryljdjhl_000005.wav,KINGNEWS BRE JА шо мојта внукичка ми кажа да не кажувам.. BREAKING LIVE NEWS
clips/dw9ryljdjhl_000006.wav,DREARNGN JА шо мојта внукичка ми кажа да не кажувам BREAKING NEWS LIVE
clips/dw9ryljdjhl_000007.wav,AKINGNEWSBR JАшо мојта внукичка ми кажа да не кажувам BREAKING LIVE NEWS
clips/dwegznkjjot_000000.wav,Добро е Баба Ружо
clips/dwegznkjjot_000001.wav,Притисоко е стабилизиран
clips/dwegznkjjot_000002.wav,"Ама деца, ке мора да га оставате малко баба microlife"
clips/dwegznkjjot_000003.wav,да одморе.
clips/dwegznkjjot_000004.wav,АМА НИИ СМЕ ГЛАДНИ
clips/dwegznkjjot_000005.wav,Гладни ли сте?!?
clips/dwegznkjjot_000006.wav,Ајде одма...
clips/dwegznkjjot_000007.wav,Одма станувам да направам нешто за јадене!
clips/dwmdvjrd1h4_000000.wav,"Ке ми кажат, Баба Ружо, глеј си кокошките"
clips/dwmdvjrd1h4_000001.wav,"Сакам бе кере, ама н можем веке!"
clips/dwmdvjrd1h4_000002.wav,Ама има некој много по арно шо ги гледе!
clips/dwmdvjrd1h4_000003.wav,"Eklckton Види ги, живеат поубаво од министри"
clips/dwmdvjrd1h4_000004.wav,R По разгалени се од син единец на мајка.
clips/dwmdvjrd1h4_000005.wav,EAlckton по релаксирани се одснаата ка оде кај сваката на госте!
clips/dwmdvjrd1h4_000006.wav,"Ајде Лепа, ајде Брена, ајде Цецо!"
clips/dwmdvjrd1h4_000007.wav,Аж'чкатака Види лушпа!
clips/dwmdvjrd1h4_000008.wav,Види љушпа! А ж'чката ка ке га видаш..
clips/dwmdvjrd1h4_000009.wav,знааш право оти тии Одма ce виделе кокошки coнце
clips/dwmdvjrd1h4_000010.wav,кокошки се виделе сонце ОТИТИИ Одмазнааш право
clips/dwmdvjrd1h4_000011.wav,He сијалици.
clips/dwmdvjrd1h4_000012.wav,Полека бабе!
clips/dwmdvjrd1h4_000013.wav,"А такачка, ако сакаш домашни убави јајца, земи си од тука!"
clips/dwmdvjrd1h4_000014.wav,"убави јајца, земи си од тука! А такачка, ако сакаш домашни"
clips/dwzwcfrdz6p_000000.wav,ветот се менува!
clips/dwzwcfrdz6p_000001.wav,ce! знaе интелегенција вeke Вештачката
clips/dwzwcfrdz6p_000002.wav,UCATION HAT SF Проблемот нее до технологијата Датум: РОДИТЕЛИ (ИНВЕСТИТОРИ) Име на Родителотите: РОБО АBАHТУPА
clips/dwzwcfrdz6p_000003.wav,"UCATION HAT SP тукушто jac camo гледам, а не создавам Датум: РОДИТЕЛИ (ИНВЕСТИТОРИ) Име на Родителотите: РОBО АBAHTYPA"
clips/dwzwcfrdz6p_000004.wav,BO паметни рнави. Ми треба
clips/dwzwcfrdz6p_000005.wav,минути чиста акција
clips/dwzwcfrdz6p_000006.wav,MEPI CAM добивате возврат 3a искуство
clips/dwzwcfrdz6p_000007.wav,ШТО менува начинот Ha размислувам
clips/dwzwcfrdz6p_000008.wav,U менува ШТО Ha начинот размислувам
clips/dwzwcfrdz6p_000009.wav,UC ШТО менува Ha кој начинот размислувам
clips/dwzwcfrdz6p_000010.wav,UCA AT Ke Што мислите? ФИ убедам ЛИ Ha моите родители да me nyшat
clips/dwzwcfrdz6p_000011.wav,а РОБО АВАНТУРА??
clips/dwzwcfrdz6p_000012.wav,јде дојдете sите деца РОБО АВАНТУРА!!! Ha
clips/dwzwcfrdz6p_000013.wav,UC NS јде дојдете деца АВАНТУРА!!! РОБО Ha
clips/dwzwcfrdz6p_000014.wav,EDUCAT THAT Ајде деца дојдете РОБО АВАНТУРА!!! na
clips/dwwzmwejcxc_000000.wav,Нем бе баба нем
clips/dwwzmwejcxc_000001.wav,Ејгиди шо доживејах!!!
clips/dwwzmwejcxc_000002.wav,"Абе Баба Ружо, не боле"
clips/dwwzmwejcxc_000003.wav,"как комарче е, глеј"
clips/dwwzmwejcxc_000004.wav,Бе ај ти јака женска си!!
clips/dwwzmwejcxc_000005.wav,ти јака женска си!!!
clips/dwwzmwejcxc_000006.wav,Нели си модерна ти баба?!?!?
clips/dwwzmwejcxc_000007.wav,Ама ке си поубава од снаата!!
clips/dwwzmwejcxc_000008.wav,Шо ке и прааме!?!
clips/dwwzmwejcxc_000009.wav,"Баба Ружо, виј каков прстен! Види види..."
clips/dwwzmwejcxc_000010.wav,"Ајдеее, биде..."
clips/dwwzmwejcxc_000011.wav,"Еее, стварно не боле"
clips/dwwzmwejcxc_000012.wav,Не се секири!!!
clips/dwwzmwejcxc_000013.wav,Бива ли саа јас да ве почастам нешто на вас?
clips/dwwzmwejcxc_000014.wav,Тии може за керката...
clips/dwwzmwejcxc_000015.wav,И за мене да си земам некој
clips/dwwzmwejcxc_000016.wav,"за зето,за снаичката.. ИHO,"
clips/dwwzmwejcxc_000017.wav,"Аууу Баба Ружо, не ги гледи тиии!"
clips/dwwzmwejcxc_000018.wav,КОJПАККЕ ТЕ АРМАСУВА!3!?!
clips/dwwzmwejcxc_000019.wav,HOП E години традшија ГТЦ ГЛОБАЛ - СТРУМИЦА
clips/dwwzmwejcxc_000020.wav,ГТЦ ГЛОБАЛ - СТРУМИЦА години традиуа 34 ТРЕЈД HEЛA ЗЛАТАРА HOПI
clips/dx7oysimsav_000000.wav,ДАЛИ НЕКОГАШ СТЕ
clips/dx7oysimsav_000001.wav,ВИДЕЛЕ ПЛОЧА
clips/dx7oysimsav_000002.wav,ЗА ГОТВЕНЕ БЕЗ
clips/dx7oysimsav_000003.wav,ВИДЛИВИ РИНГИ?
clips/dx7oysimsav_000004.wav,ЗАМИСЛЕТЕ ДА ГОТВИТЕ
clips/dx7oysimsav_000005.wav,ДИРЕКТНО НА ВАШАТА
clips/dx7oysimsav_000006.wav,"РАБОТНА ПОВРШИНА,"
clips/dx7oysimsav_000007.wav,КАДЕ ШТО САМО
clips/dx7oysimsav_000008.wav,Mf МАГНЕТНАТА ИНДУКЦИЗА
clips/dx7oysimsav_000009.wav,"mtt ГИ ЗАГРЕВА САДОВИТЕ,"
clips/dx7oysimsav_000010.wav,ДОДЕКА САМАТА
clips/dx7oysimsav_000011.wav,ПОВРШИНА ОСТАНУВА
clips/dx7oysimsav_000012.wav,ЛАДНА НА ДОПИР.
clips/dx7oysimsav_000013.wav,HOME ВНЕСУВА ЕЛЕГАНЦИЛА И
clips/dx7oysimsav_000014.wav,HOME ЛУКСУЗ ВО
clips/dxjldwcddqd_000000.wav,САМО СЕ ШЕГУВАМ.
clips/dxjldwcddqd_000001.wav,ДУРИ И КОГА
clips/dxjldwcddqd_000002.wav,"ГОТВИТЕ ПОДОЛГО,"
clips/dxjldwcddqd_000003.wav,КАКО ШТО
clips/dxjldwcddqd_000004.wav,"НЕ ГРИЖЕТЕ СЕ, НЕ"
clips/dxjldwcddqd_000005.wav,ИЗГОРИТЕ СО
clips/dxr2agbiglt_000000.wav,"ИЗВИНИ, ИЗВИНИ."
clips/dxr2agbiglt_000001.wav,СЛУШНИ ДА ТЕ ПИТАМ HЕШТО.
clips/dxr2agbiglt_000002.wav,ТИ ГАЗДАТА ЛИ СИ?
clips/dxr2agbiglt_000003.wav,"НЕЛИ СИ ГАЗДА, А?"
clips/dxr2agbiglt_000004.wav,"СИ ГАЗДА, ВОЗЕШ АКО ЕМИ ЗАШО"
clips/dxr2agbiglt_000005.wav,"ЕМИ ЗАШО ВОЗЕШ АКО СИ ГАЗДА,"
clips/dxr2agbiglt_000006.wav,НАМЕСТО ДА ОДМАРАШ?
clips/dxr2agbiglt_000007.wav,СЛУШАЛ ДА ТЕ ННТАМ НЕШТО.
clips/dxr2agbiglt_000008.wav,ТИ ПАДЕН ЛИ СИ БЕ СИНЕ?
clips/dxr2agbiglt_000009.wav,МАЛЦА ИМАШ ЛИ ОДОЗДОЛА?
clips/dxr2agbiglt_000010.wav,"БОЖЕ, КЕ ИЗМРЗНА ДЕТТО!"
clips/dxr2agbiglt_000011.wav,ROST А ТАЛ ТУКА АВТОБУСО
clips/dxr2agbiglt_000012.wav,КОЛКУ БРЗИНАИМА?
clips/dxr2agbiglt_000013.wav,ЛЕТАШ НЕЛИ?
clips/dxr2agbiglt_000014.wav,ЈАС КЕ ОДАМ ЕДНО ТОСЧЕ КЕ ТИ НАПРААМ
clips/dxr2agbiglt_000015.wav,МОЖЕ ЛИ?
clips/dxr2agbiglt_000016.wav,AJHAE БАБА ДЕТТО МОРЕ ВИДИ ГО АЈ AR 7DOT
clips/dxr2agbiglt_000017.wav,CAMO DА АЗHAЕTE CEГА ЗАСТАНУВАМЕ
clips/dxr2agbiglt_000018.wav,CAMO ДА ЗНАЕТЕ CEГA ЗАСТАНУВАМЕ
clips/dxr2agbiglt_000019.wav,НАПАУЗА. expies
clips/dxr2agbiglt_000020.wav,НЕКАЛ НА БАБА МОРЕ БУДИ
clips/dxr2agbiglt_000021.wav,"TEN НА БАБА MУA. YA, ВОЗИ, УБАВО"
clips/dxr2agbiglt_000022.wav,"МУА, МУА. НА БАБА ШО УБАВО ВОЗИ,"
clips/dxr2agbiglt_000023.wav,ДА ТИ ДАДААХ
clips/dxr2agbiglt_000024.wav,АМААЛ ДРУГИО ПАТ
clips/dyko2tygqid_000000.wav,"Околуеден час, изутрината"
clips/dyko2tygqid_000001.wav,"кажа дека Ердоган,"
clips/dyko2tygqid_000002.wav,"a Eрдогaн, кажа дека"
clips/dyko2tygqid_000003.wav,"кој што дотогаш не се знаеше ми кажа дека Ердоган,"
clips/dyko2tygqid_000004.wav,"каде е, дека ке слета"
clips/dyko2tygqid_000005.wav,"каде е, дека ке слета во делот"
clips/dyko2tygqid_000006.wav,Тој слетува на делот
clips/dyko2tygqid_000007.wav,Тој слетува на делот а аеродромот кај што сме ние.
clips/dyko2tygqid_000008.wav,"Доаѓа војска, полицијата"
clips/dyko2tygqid_000009.wav,"Доага војска, полицијата е веќе катре"
clips/dyko2tygqid_000010.wav,главата дека во местото
clips/dyko2tygqid_000011.wav,"I лавата дека во местото аде што сме ние, може"
clips/dyko2tygqid_000012.wav,да се случи. И тогаш
clips/dyko2tygqid_000013.wav,"се случи. И тогаш и дома викам, сeјавив"
clips/dyko2tygqid_000014.wav,тука е ситуацијата многу
clips/dyko2tygqid_000015.wav,лоша. Искрено тука е ситуацијата многу I
clips/dyko2tygqid_000016.wav,"да кажам, малце се вознемирив."
clips/dyko2tygqid_000017.wav,"ажам, малце се вознемирив. икам што да правиме? Му"
clips/dyko2tygqid_000018.wav,се јавив на тогашниот
clips/dyko2tygqid_000019.wav,се јавив на тогашниот едонски амбасадор во Турција
clips/dyko2tygqid_000020.wav,"Му викам, амбасадоре, тука"
clips/dyko2tygqid_000021.wav,"Му викам, амбасадоре, тука елошо, може да се случат"
clips/dyko2tygqid_000022.wav,"многуработи, веке слушаме"
clips/dyko2tygqid_000023.wav,"многуработи, веке слушаме пукања, имаше и детонации"
clips/dyko2tygqid_000024.wav,неколку. Дали
clips/dyko2tygqid_000025.wav,неколку. Дали може некојда дојде да не извлече?
clips/dyko2tygqid_000026.wav,"Ми вика, нема шанси никој"
clips/dykgj4yojx5_000000.wav,ЧУДНО HEBEWE КАКОГО ПОНИШТИЛА
clips/dykgj4yojx5_000001.wav,MHTEP HE BЕШЕ ЧУДНО AKO ПОНИШТИЛА MO Jy
clips/dykgj4yojx5_000002.wav,MHTE ИТВОРОТ НАЕДНАШ KA ДРЖАВАТА 10 Jy
clips/dykgj4yojx5_000003.wav,E BO СЕРИОЗНО ПОГРЕШЕН СТРАТЕШКИ
clips/dykgj4yojx5_000004.wav,ПРАВЕЦ. И МИСЛАМ ДЕКА
clips/dykgj4yojx5_000005.wav,ТРЕБА ЗА ТОА ДА TOA AA РАЗГОВАРАМЕ
clips/dykgj4yojx5_000006.wav,ТРЕБА ЗА ТОА ДА ТОАДА РАЗГОВАРАМЕ
clips/dykgj4yojx5_000007.wav,АРТАН ГРУБИ ICE ВРАТИ
clips/dykgj4yojx5_000008.wav,"НО ЕКСПРЕМИЕРОТ НИКОЛАГРУЕВСКИ,"
