file_name,video,start,end,duration,whisper_text,corrected_text,was_edited
clips/dzmjdp9o7hn_000019.wav,DZmjdp9O7hN.mp4,73.1,75.46,2.36,Опте ми направи преубава фризура за 5 минути.,Октај ми направи преубава фризура за 5 минути.,yes
clips/dzmjdp9o7hn_000020.wav,DZmjdp9O7hN.mp4,75.56,77.54,1.98,Спремно со врвен фустан.,Спремно со врвен фустан.,no
clips/dzmjdp9o7hn_000021.wav,DZmjdp9O7hN.mp4,77.62,80.72,3.1,Вечерата ја завршивме во преубав азиски ресторант.,Вечерата ја завршивме во преубав азиски ресторант.,no
clips/dzmjdp9o7hn_000022.wav,DZmjdp9O7hN.mp4,80.76,85.78,5.02,"Јадевме суши, се дружевме, а десертот беше совршен крај на денот.","Јадевме суши, се дружевме, а десертот беше совршен крај на денот.",no
clips/dzmjdp9o7hn_000023.wav,DZmjdp9O7hN.mp4,85.94,88.32,2.38,Станав сабајле и отидов на доручек.,Станав сабајле и отидов на доручек.,no
clips/dzmjdp9o7hn_000024.wav,DZmjdp9O7hN.mp4,88.56,90.32,1.76,Храна и поглед 10 од 10.,Храна и поглед 10 од 10.,no
clips/dzmjdp9o7hn_000025.wav,DZmjdp9O7hN.mp4,90.32,96.02,5.7,Се упативме кон заливот Чикат и дадоа којшо подлоги и малку медитација и јога.,Се упативме кон заливот Чикат и дадоа ојшо подлоги и малку медитација и јога.,yes
clips/dzmjdp9o7hn_000027.wav,DZmjdp9O7hN.mp4,96.81,99.43,2.62,"Се изморив, ама вредеше за овој поглед.","Се изморив, ама вредеше за овој поглед.",no
clips/dzmjdp9o7hn_000028.wav,DZmjdp9O7hN.mp4,99.65,102.67,3.02,"Се качивме на глисер, ама дуваше ветер и ништо...","Се качивме на глисер, ама дуваше ветер и ништо...",no
clips/dzmjdp9o7hn_000030.wav,DZmjdp9O7hN.mp4,109.1,110.74,1.64,Уште еден аутфитчек.,Уште еден аутфитчек.,no
clips/dzmjdp9o7hn_000031.wav,DZmjdp9O7hN.mp4,111.52,116.62,5.1,"Ресторанот на хотелот е со Мишелин Звезда, така да јадењето беше вау, вау, вау.","Ресторанот на хотелот е со Мишелин Ѕвезда, така да јадењето беше вау, вау, вау.",yes
clips/dzmjdp9o7hn_000032.wav,DZmjdp9O7hN.mp4,116.9,119.3,2.4,"А за десертот, но комент луѓе врв.","А за десертот, но комент луѓе врв.",no
clips/dzmjdp9o7hn_000033.wav,DZmjdp9O7hN.mp4,119.5,120.86,1.36,Сега одеме на кајак.,Сега одеме на кајак.,no
clips/dzmjdp9o7hn_000034.wav,DZmjdp9O7hN.mp4,120.86,123.88,3.02,"Веславме, јас уживам а он весла.","Веславме, јас уживам а он весла.",no
clips/dzmjdp9o7hn_000035.wav,DZmjdp9O7hN.mp4,126.21,129.33,3.12,"Дори и суп, даските и кајаците беа брендирани.",Дури и суп даските и кајаците беа брендирани.,yes
clips/dzmjdp9o7hn_000036.wav,DZmjdp9O7hN.mp4,129.45,131.27,1.82,Секој момент беше посебен.,Секој момент беше посебен.,no
clips/dzmjdp9o7hn_000037.wav,DZmjdp9O7hN.mp4,131.27,133.47,2.2,"Сега одиме на вечера, ќе ви снимаме таму.","Сега одиме на вечера, ќе ви снимаме таму.",no
clips/dzmjdp9o7hn_000038.wav,DZmjdp9O7hN.mp4,134.25,135.91,1.66,"Ајде, тука е еден аутфитчек.","Ајде, тука е еден аутфитчек.",no
clips/dzmjdp9o7hn_000039.wav,DZmjdp9O7hN.mp4,136.11,138.77,2.66,Следува вистинско гастрономско доживување.,Следува вистинско гастрономско доживување.,no
clips/dzmjdp9o7hn_000040.wav,DZmjdp9O7hN.mp4,138.91,142.97,4.06,"Начинот на кој шефот ни ги претставуваше јадењата беше посебна приказна,","Начинот на кој шефот ни ги претставуваше јадењата беше посебна приказна,",no
clips/dzmjdp9o7hn_000041.wav,DZmjdp9O7hN.mp4,143.03,144.63,1.6,а вкусот уште подобар.,а вкусот уште подобар.,no
clips/dzmjdp9o7hn_000042.wav,DZmjdp9O7hN.mp4,144.75,148.67,3.92,"И носа едно по едно, секој след е внимателно одбран","И носа едно по едно, секој след е внимателно одбран",no
clips/dzmjdp9o7hn_000043.wav,DZmjdp9O7hN.mp4,148.67,151.41,2.74,и за се имаше посебна презентација.,и за се имаше посебна презентација.,no
clips/dzmjdp9o7hn_000044.wav,DZmjdp9O7hN.mp4,151.41,153.47,2.06,Мислам дека ќе пукнев од јадење.,Мислам дека ќе пукнев од јадење.,no
clips/dzmjdp9o7hn_000045.wav,DZmjdp9O7hN.mp4,153.53,155.49,1.96,И на крај десертот ме уби.,И на крај десертот ме уби.,no
clips/dzmjdp9o7hn_000046.wav,DZmjdp9O7hN.mp4,156.03,161.67,5.64,"Вечерта заврши, си легнавме, а утре дента токму го започнавме денот со јога и медитација.","Вечерта заврши, си легнавме, а утре дента токму го започнавме денот со јога и медитација.",no
clips/dzmjdp9o7hn_000047.wav,DZmjdp9O7hN.mp4,161.83,165.17,3.34,"Неме држи место но, се надевам се учи со тек на време.","Неме држи место но, се надевам се учи со тек на време.",no
clips/dzmjdp9o7hn_000048.wav,DZmjdp9O7hN.mp4,165.39,169.73,4.34,Погледот беше драма и тука малце си повежбав покрај морето.,Погледот беше драма и тука малце си повежбав покрај морето.,no
clips/dzmjdp9o7hn_000049.wav,DZmjdp9O7hN.mp4,169.93,175.09,5.16,"Од мои 4 години одев на балет, па затоа уште ме држи таа еластичност.","Од мои 4 години одев на балет, па затоа уште ме држи таа еластичност.",no
clips/dzmjdp9o7hn_000050.wav,DZmjdp9O7hN.mp4,175.65,179.03,3.38,Големо благодарам Дин Дитек за прекрасната организација.,Големо благодарам до Inditex за прекрасната организација.,yes
clips/da5ukm9mssg_000000.wav,Da5uKm9MsSg.mp4,24.24,29.08,4.84,Дојди со мене на Крит.,Дојди со мене на Крит.,no
clips/da5ukm9mssg_000001.wav,Da5uKm9MsSg.mp4,30.0,35.02,5.02,со белиот песок. И тргнавме на уште една плажа Ии без каротен никако.,со белиот песок. И тргнавме на уште една плажа Ии без каротен никако.,no
clips/da5ukm9mssg_000002.wav,Da5uKm9MsSg.mp4,35.14,39.82,4.68,"На глисер сонцето најмногу пече, па затоа задолжително 50ка фактор.","На глисер сонцето најмногу пече, па затоа задолжително 50ка фактор.",no
clips/da5ukm9mssg_000003.wav,Da5uKm9MsSg.mp4,39.96,44.78,4.82,"Плажа со кози, ние бевме малку подалеко од нив, ако одите пеш,","Плажа со кози, ние бевме малку подалеку од нив, ако одите пеш,",yes
clips/da5ukm9mssg_000004.wav,Da5uKm9MsSg.mp4,44.88,48.5,3.62,"можете да ги видите и одблиску, но тешко се стига преку карпите.","можете да ги видите и одблиску, но тешко се стига преку карпите.",no
clips/da5ukm9mssg_000005.wav,Da5uKm9MsSg.mp4,48.7,51.8,3.1,Велат дека за најубавите места треба малку да се помачиш.,Велат дека за најубавите места треба малку да се помачиш.,no
clips/da5ukm9mssg_000006.wav,Da5uKm9MsSg.mp4,51.86,54.9,3.04,Ама ние овој пат си го одбравме полесниот начин со глисер.,Ама ние овој пат си го одбравме полесниот начин со глисер.,no
clips/da5ukm9mssg_000007.wav,Da5uKm9MsSg.mp4,55.06,56.94,1.88,Стварно беше прекрасно искуство.,Стварно беше прекрасно искуство.,no
clips/da5ukm9mssg_000008.wav,Da5uKm9MsSg.mp4,56.94,67.54,10.6,"Се спремивме и отидовме во мојата омилена таверна на Крит. И ставиле преубава маса со поглед. Ѕаѕики, карпачо, лигњи, ракчиња, школки, октопод.","Се спремивме и отидовме во мојата омилена таверна на Крит. И ставиле преубава маса со поглед. Ѕаѕики, карпачо, лигњи, ракчиња, школки, октопод.",no
clips/da5ukm9mssg_000009.wav,Da5uKm9MsSg.mp4,67.7,76.24,8.54,"Оваа таверна ми е 100/10, а за благото немам коментар. Грчки специјалитет Galaktoboureko. Лу-ди-ло.","Оваа таверна ми е 100/10, а за благото немам коментар. Грчки специјалитет Galaktoboureko. Лу-ди-ло.",no
clips/da5ukm9mssg_000010.wav,Da5uKm9MsSg.mp4,76.24,80.34,4.1,"Прославиве и роденден, а атмосферата беше стварно преубава.","Прославивме и роденден, а атмосферата беше стварно преубава.",yes
clips/da5ukm9mssg_000011.wav,Da5uKm9MsSg.mp4,80.78,82.54,1.76,Наредниот ден пак на плажа.,Наредниот ден пак на плажа.,no
clips/da5ukm9mssg_000012.wav,Da5uKm9MsSg.mp4,82.62,86.94,4.32,Најдов и преслатка продавница каде што жената сама ги плетеше продуктите.,Најдов и преслатка продавница каде што жената сама ги плетеше продуктите.,no
clips/da5ukm9mssg_000013.wav,Da5uKm9MsSg.mp4,87.2,90.96,3.76,Се купив и капче. Пишете во коментар дали ви се допаѓа.,Си купив и капче. Пишете во коментар дали ви се допаѓа.,yes
clips/da5ukm9mssg_000014.wav,Da5uKm9MsSg.mp4,91.12,94.18,3.06,После плажа спасот е after sun гел од каротен.,После плажа спасот е after sun гел од каротен.,no
clips/da5ukm9mssg_000015.wav,Da5uKm9MsSg.mp4,94.94,97.58,2.64,Вечерта отидовме во нивна традиционална таверна.,Вечерта отидовме во нивна традиционална таверна.,no
clips/da5ukm9mssg_000016.wav,Da5uKm9MsSg.mp4,97.98,101.34,3.36,Како во повеќето таверни секогаш носат лепче со маслиново.,Како во повеќето таверни секогаш носат лепче со маслиново.,no
clips/da5ukm9mssg_000017.wav,Da5uKm9MsSg.mp4,101.58,103.66,2.08,Ѕаѕики и грчка салата секогаш.,Ѕаѕики и грчка салата секогаш.,no
clips/da5ukm9mssg_000018.wav,Da5uKm9MsSg.mp4,103.66,108.04,4.38,"Храната беше вкусна, а компирите убедливо најдобри се потепавме за нив.","Храната беше вкусна, а компирите убедливо најдобри се потепавме за нив.",no
clips/da5ukm9mssg_000019.wav,Da5uKm9MsSg.mp4,108.24,111.24,3.0,"На крај, како и секогаш, не почестија со ракија и благо.","На крај, како и секогаш, не почестија со ракија и благо.",no
clips/da5ukm9mssg_000020.wav,Da5uKm9MsSg.mp4,111.54,116.38,4.84,Аеродромот Хераклион е посебна приказна. Хаос не се знаеше кој каде оди.,Аеродромот Хераклион е посебна приказна. Хаос не се знаеше кој каде оди.,no
clips/da5ukm9mssg_000021.wav,Da5uKm9MsSg.mp4,116.46,119.04,2.58,"Единствено убаво беше што аеродромот е до море,","Единствено убаво беше што аеродромот е до море,",no
clips/da5ukm9mssg_000022.wav,Da5uKm9MsSg.mp4,119.04,121.98,2.94,па при полетувањето имаше неверојатен поглед.,па при полетувањето имаше неверојатен поглед.,no
clips/da5ukm9mssg_000023.wav,Da5uKm9MsSg.mp4,122.1,123.64,1.54,Море и зајди сонце.,Море и зајди сонце.,no
clips/da5ukm9mssg_000024.wav,Da5uKm9MsSg.mp4,123.86,125.78,1.92,Буквално изгледаше како слика.,Буквално изгледаше како слика.,no
clips/da5ukm9mssg_000025.wav,Da5uKm9MsSg.mp4,126.12,130.82,4.7,Пишете во коментар дали пропуштив некој место на Крит што треба да се посети.,Пишете во коментар дали пропуштив некое место на Крит што треба да се посети.,yes
clips/dc9bepkuprx_000000.wav,Dc9BEPkuPRX.mp4,0.0,2.14,2.14,Ме прашаа како го поминав ова лето.,Ме прашаа како го поминав ова лето.,no
clips/dc9bepkuprx_000001.wav,Dc9BEPkuPRX.mp4,6.17,9.43,3.26,Бегаме од топлотен бран во Скопје и одиме во Берово.,Бегаме од топлотен бран во Скопје и одиме во Берово.,no
clips/dc9bepkuprx_000002.wav,Dc9BEPkuPRX.mp4,9.55,14.57,5.02,Берово ми е едно од оние места каде што сваќаш колку многу ни недостига едноставниот живот.,Берово ми е едно од оние места каде што сфаќаш колку многу ни недостига едноставниот живот.,yes
clips/dc9bepkuprx_000003.wav,Dc9BEPkuPRX.mp4,14.91,21.19,6.28,"Овде луѓето се уште си произведуваат своја храна, си берат од дворот, прават сирење, зимници.","Овде луѓето се уште си произведуваат своја храна, си берат од дворот, прават сирење, зимници.",no
clips/dc9bepkuprx_000004.wav,Dc9BEPkuPRX.mp4,21.35,24.73,3.38,"И стварно ништо не е на сила, се е некако спонтано и природно.","И стварно ништо не е на сила, се е некако спонтано и природно.",no
clips/dc9bepkuprx_000005.wav,Dc9BEPkuPRX.mp4,24.99,28.69,3.7,Мене најмногу ми се допадна тоа што овде луѓето повеќе се дружа.,Мене најмногу ми се допадна тоа што овде луѓето повеќе се дружат,yes
clips/dc9bepkuprx_000006.wav,Dc9BEPkuPRX.mp4,28.69,32.05,3.36,"Нема брзање, нема потреба постојано некаде да одиш.","Нема брзање, нема потреба постојано некаде да одиш.",no
clips/dc9bepkuprx_000007.wav,Dc9BEPkuPRX.mp4,32.09,36.05,3.96,"Ке седнеш со некого, ке јадеш нешто што буквално си го набрал од дворот","Ке седнеш со некого, ке јадеш нешто што буквално си го набрал од дворот",no
clips/dc9bepkuprx_000008.wav,Dc9BEPkuPRX.mp4,36.05,39.23,3.18,и ќе сватиш дека можеби токму тоа е вистинскиот луксуз.,и ќе сватиш дека можеби токму тоа е вистинскиот луксуз.,no
clips/dc9bepkuprx_000009.wav,Dc9BEPkuPRX.mp4,40.53,44.83,4.3,Ово е дворот на Данче и е најубавиот двор што сум го видела до сега.,Ово е дворот на Данче и е најубавиот двор што сум го видела до сега.,no
clips/dc9bepkuprx_000010.wav,Dc9BEPkuPRX.mp4,44.95,48.15,3.2,"Има преубави цвеќиња, зеленчуци, овојше се.","Има преубави цвеќиња, зеленчуци, овојше се.",no
clips/dc9bepkuprx_000011.wav,Dc9BEPkuPRX.mp4,48.35,51.77,3.42,Буквално во секој тјош има огромна љубав и посветеност.,Буквално во секој кјош има огромна љубов и посветеност,yes
clips/dc9bepkuprx_000012.wav,Dc9BEPkuPRX.mp4,51.95,53.71,1.76,Еве и нејзината бавча.,Еве и нејзината бавча.,no
clips/dc9bepkuprx_000013.wav,Dc9BEPkuPRX.mp4,53.97,57.89,3.92,Ова треба да го градиш години и години за да имаш вакво нешто.,Ова треба да го градиш години и години за да имаш вакво нешто.,no
clips/dc9bepkuprx_000014.wav,Dc9BEPkuPRX.mp4,57.89,60.63,2.74,Цело лето би можела да седам во ваков двор.,Цело лето би можела да седам во ваков двор.,no
clips/dc9bepkuprx_000015.wav,Dc9BEPkuPRX.mp4,61.67,63.65,1.98,"Крестовицата личи на птица, инаку.","Краставицата личи на птица, инаку.",yes
clips/dc9bepkuprx_000016.wav,Dc9BEPkuPRX.mp4,63.95,68.13,4.18,"Се добив и честитка од едни преслатки девојчиња, што ми го стоплија срцето.","Се добив и честитка од едни преслатки девојчиња, што ми го стоплија срцето.",no
clips/dc9bepkuprx_000017.wav,Dc9BEPkuPRX.mp4,68.37,70.31,1.94,Отидовме и во посета на коњните.,Отидовме и во посета на коњните.,no
clips/dc9bepkuprx_000018.wav,Dc9BEPkuPRX.mp4,70.63,73.97,3.34,"Ме касна бе, а потоа и ми се насмеа.","Ме касна бе, а потоа и ми се насмеа.",no
clips/dc9bepkuprx_000019.wav,Dc9BEPkuPRX.mp4,74.86,77.68,2.82,И мислам дека токму тоа ми остана од Берово.,И мислам дека токму тоа ми остана од Берово.,no
clips/dc9bepkuprx_000020.wav,Dc9BEPkuPRX.mp4,77.7,80.92,3.22,Чувството дека животот може да биде многу поедноставен.,Чувството дека животот може да биде многу поедноставен.,no
clips/dc9bepkuprx_000021.wav,Dc9BEPkuPRX.mp4,81.02,83.96,2.94,"Колку би било убаво овде када се отвори ресторан,",Колку би било убаво овде да се отвори ресторант,yes
clips/dc9bepkuprx_000022.wav,Dc9BEPkuPRX.mp4,83.96,88.6,4.64,"затоа што е преубава локација, а ресторанот што порано бил многу познат,","затоа што е преубава локација, а ресторанот што порано бил многу познат,",no
clips/dc9bepkuprx_000023.wav,Dc9BEPkuPRX.mp4,88.72,89.82,1.1,веќе е запад.,веќе е запуштен.,yes
clips/dc9bepkuprx_000024.wav,Dc9BEPkuPRX.mp4,89.94,92.66,2.72,"И воздухот, мислам дека таму најмногу го почувствував,","И воздухот, мислам дека таму најмногу го почувствував,",no
clips/dc9bepkuprx_000025.wav,Dc9BEPkuPRX.mp4,92.66,95.78,3.12,колку ни недостига природата кога сме постојано во град.,колку ни недостига природата кога сме постојано во град.,no
clips/dc9bepkuprx_000026.wav,Dc9BEPkuPRX.mp4,96.02,97.14,1.12,Следно е Трпејца.,Следно е Трпејца.,no
clips/dc9bepkuprx_000027.wav,Dc9BEPkuPRX.mp4,97.68,101.72,4.04,Стигнавме во куќата на другарите и ја приубава на приубава локација.,Стигнавме во куќата на другарите и е преубава на преубава локација,yes
clips/dc9bepkuprx_000028.wav,Dc9BEPkuPRX.mp4,102.0,103.98,1.98,Погледот од собата ни беше wow.,Погледот од собата ни беше wow.,no
clips/dc9bepkuprx_000029.wav,Dc9BEPkuPRX.mp4,104.06,107.22,3.16,Трпејца ми е едно од оние места каде што не мора да имаш план.,Трпејца ми е едно од оние места каде што не мора да имаш план.,no
clips/dc9bepkuprx_000030.wav,Dc9BEPkuPRX.mp4,107.58,112.24,4.66,"Само шетај, најди некоја мала уличка, седни покрај езеро и уживај.","Само шетај, најди некоја мала уличка, седни покрај езеро и уживај.",no
clips/dc9bepkuprx_000031.wav,Dc9BEPkuPRX.mp4,112.24,116.56,4.32,"А Наталија ни беше локален експерт, фуд адвајзор и водич.","А Наталија ни беше локален експерт, фуд адвајзор и водич.",no
clips/dc9bepkuprx_000032.wav,Dc9BEPkuPRX.mp4,120.14,124.99,4.85,"Ми се допаѓа што не е премногу испеглано туристичко место,","Ми се допаѓа што не е премногу испеглано туристичко место,",no
clips/dc9bepkuprx_000033.wav,Dc9BEPkuPRX.mp4,125.61,128.23,2.62,"има некоја своја атмосфера, луѓето се опуштени,","има некоја своја атмосфера, луѓето се опуштени,",no
clips/dc9bepkuprx_000034.wav,Dc9BEPkuPRX.mp4,128.31,132.59,4.28,"И цело време имаш чувство дека си на одмор, а не на некоја туристичка атракција.","И цело време имаш чувство дека си на одмор, а не на некоја туристичка атракција.",no
clips/dc9bepkuprx_000035.wav,Dc9BEPkuPRX.mp4,132.63,136.75,4.12,А водата е толку бистра што понекогаш да забораваш дека си на Охридското езеро.,А водата е толку бистра што понекогаш забораваш дека си на Охридското езеро.,yes
clips/dc9bepkuprx_000036.wav,Dc9BEPkuPRX.mp4,136.93,139.21,2.28,"И да, можеби звучи како голема изјава,","И да, можеби звучи како голема изјава,",no
clips/dc9bepkuprx_000037.wav,Dc9BEPkuPRX.mp4,139.21,143.61,4.4,ама мене Трпејциа ми има повеќе душа него многу позвучни туристички места.,ама мене Трпејциа ми има повеќе душа него многу позвучни туристички места.,no
clips/dc9bepkuprx_000038.wav,Dc9BEPkuPRX.mp4,143.85,147.01,3.16,И секако пепси се вклопува и освежува во секој момент.,И секако пепси се вклопува и освежува во секој момент.,no
clips/dc9bepkuprx_000039.wav,Dc9BEPkuPRX.mp4,147.27,150.03,2.76,А сега одиме да ви ги покажам локалните ресторанчи.,А сега одиме да ви ги покажам локалните ресторанчиња,yes
clips/dc9bepkuprx_000040.wav,Dc9BEPkuPRX.mp4,150.19,153.09,2.9,Без макало не се поминува во Трпејца.,Без макало не се поминува во Трпејца.,no
clips/dc9bepkuprx_000041.wav,Dc9BEPkuPRX.mp4,153.43,157.45,4.02,Утреданта Наталија ни спреми доручек со познатите охридски јавречи.,Утредента Наталија ни спреми доручек со познатите охридски ѓевречиња,yes
clips/dc9bepkuprx_000042.wav,Dc9BEPkuPRX.mp4,157.57,159.79,2.22,И седнавме во ресторанот Сентропе.,И седнавме во ресторанот Сентропе.,no
clips/dc9bepkuprx_000043.wav,Dc9BEPkuPRX.mp4,160.09,163.91,3.82,"Врзно јадење. Јадеш, пиеш, се капеш и се враќаш назад.","Врвно јадење, јадеш, пиеш се капеш и се враќаш назад.",yes
clips/dc9bepkuprx_000044.wav,Dc9BEPkuPRX.mp4,166.05,173.23,7.18,"Понекогаш стварно не ти треба ништо посебно, само мирно место, добра храна, пепси и луѓе со кои што можеш да седиш со часови.","Понекогаш стварно не ти треба ништо посебно, само мирно место, добра храна, пепси и луѓе со кои што можеш да седиш со часови.",no
clips/ddhsfacmf8z_000000.wav,DdHSfaCMf8Z.mp4,0.0,2.5,2.5,Денеска ќе зборуваме за хороскоп.,Денеска ќе зборуваме за хороскоп.,no
